date,state,pct_ge1,mean_cameras,cameras
2025-07-01,mi,62.78,3.469,2190
2025-07-01,mn,16.15,0.238,217
2025-07-01,mo,33.22,0.853,364
2025-07-01,ms,6.68,0.107,76
2025-07-01,mt,0.0,0.0,1
2025-07-01,nc,8.16,0.123,210
2025-07-01,nd,5.49,0.069,18
2025-07-01,ne,8.33,0.146,44
2025-07-01,nh,11.91,0.176,52
2025-07-01,nj,4.37,0.06,63
2025-07-01,nm,9.05,0.245,80
2025-07-01,nv,3.78,0.038,7
2025-07-01,ny,25.61,0.498,429
2025-07-01,oh,36.56,0.902,1085
2025-07-01,ok,50.46,1.103,525
2025-07-01,or,7.46,0.121,154
2025-07-01,pa,2.36,0.046,53
2025-07-01,ri,34.5,0.588,48
2025-07-01,sc,12.11,0.233,120
2025-07-01,sd,1.71,0.017,18
2025-07-01,tn,16.79,0.3,311
2025-07-01,tx,34.18,0.897,1925
2025-07-01,ut,31.29,0.61,133
2025-07-01,va,37.99,1.244,1112
2025-07-01,vt,0.0,0.0,0
2025-07-01,wa,26.57,0.683,446
2025-07-01,wi,54.91,1.547,946
2025-07-01,wv,0.51,0.01,6
2025-07-01,wy,1.91,0.098,26
2026-01-01,ak,0.0,0.0,0
2026-01-01,al,56.1,2.03,1386
2026-01-01,ar,46.59,1.185,326
2026-01-01,az,51.04,1.838,1416
2026-01-01,ca,67.72,3.574,10541
2026-01-01,co,69.65,2.436,1599
2026-01-01,ct,60.68,2.616,548
2026-01-01,dc,19.25,0.298,48
2026-01-01,de,31.5,0.581,142
2026-01-01,fl,65.5,2.78,3877
2026-01-01,ga,80.42,4.97,3996
2026-01-01,hi,7.81,0.271,52
2026-01-01,ia,43.38,1.22,530
2026-01-01,id,23.74,0.603,144
2026-01-01,il,79.87,5.712,3921
2026-01-01,in,70.19,2.869,1856
2026-01-01,ks,59.5,1.971,910
2026-01-01,ky,60.32,1.876,852
2026-01-01,la,59.2,1.964,821
2026-01-01,ma,50.29,1.539,514
2026-01-01,md,34.71,1.155,440
2026-01-01,me,10.3,0.181,24
2026-01-01,mi,67.64,3.967,2813
2026-01-01,mn,47.17,1.243,789
2026-01-01,mo,58.98,2.214,1297
2026-01-01,ms,22.69,0.42,207
2026-01-01,mt,0.0,0.0,23
2026-01-01,nc,33.22,0.768,1253
2026-01-01,nd,16.46,0.32,74
2026-01-01,ne,19.3,0.32,152
2026-01-01,nh,11.91,0.176,53
2026-01-01,nj,35.01,0.868,654
2026-01-01,nm,60.8,2.494,558
2026-01-01,nv,45.49,1.268,458
2026-01-01,ny,63.77,4.336,1849
2026-01-01,oh,69.53,2.523,3384
2026-01-01,ok,52.74,1.227,705
2026-01-01,or,18.56,0.407,331
2026-01-01,pa,17.05,0.522,579
2026-01-01,ri,60.0,1.26,140
2026-01-01,sc,42.28,1.145,677
2026-01-01,sd,12.94,0.175,59
2026-01-01,tn,48.04,1.378,1358
2026-01-01,tx,63.35,2.463,7005
2026-01-01,ut,60.88,1.588,455
2026-01-01,va,56.3,1.956,1887
2026-01-01,vt,1.42,0.02,5
2026-01-01,wa,46.25,1.423,1266
2026-01-01,wi,67.84,2.273,1449
2026-01-01,wv,10.03,0.161,49
2026-01-01,wy,13.71,0.311,50
2026-07-24,ak,0.0,0.0,0
2026-07-24,al,72.38,3.508,2333
2026-07-24,ar,66.69,2.632,1031
2026-07-24,az,67.59,3.12,2380
2026-07-24,ca,83.69,6.623,18312
2026-07-24,co,78.44,3.224,2454
2026-07-24,ct,71.04,3.965,882
2026-07-24,dc,43.08,0.757,131
2026-07-24,de,66.92,2.137,367
2026-07-24,fl,83.82,5.274,8268
2026-07-24,ga,90.8,10.325,8229
2026-07-24,hi,16.38,0.361,59
2026-07-24,ia,56.2,1.917,868
2026-07-24,id,49.77,1.608,347
2026-07-24,il,88.22,7.976,6287
2026-07-24,in,80.1,4.35,3253
2026-07-24,ks,76.55,3.967,1853
2026-07-24,ky,72.0,3.201,1687
2026-07-24,la,75.91,3.762,1718
2026-07-24,ma,64.42,2.336,1069
2026-07-24,md,47.06,1.671,853
2026-07-24,me,22.95,0.464,58
2026-07-24,mi,71.67,4.544,3442
2026-07-24,mn,62.13,1.943,1370
2026-07-24,mo,80.12,4.672,3046
2026-07-24,ms,53.68,1.931,852
2026-07-24,mt,4.28,0.043,51
2026-07-24,nc,62.83,2.675,3245
2026-07-24,nd,21.86,0.677,128
2026-07-24,ne,40.39,1.151,456
2026-07-24,nh,13.98,0.203,67
2026-07-24,nj,57.93,2.34,1599
2026-07-24,nm,69.65,3.56,872
2026-07-24,nv,59.59,2.062,746
2026-07-24,ny,78.33,6.777,3931
2026-07-24,oh,82.39,4.79,6157
2026-07-24,ok,65.06,1.983,1292
2026-07-24,or,30.88,0.703,480
2026-07-24,pa,40.51,1.865,2176
2026-07-24,ri,78.33,2.566,276
2026-07-24,sc,68.97,3.041,1676
2026-07-24,sd,38.81,0.695,141
2026-07-24,tn,69.26,2.832,3012
2026-07-24,tx,81.8,5.565,14729
2026-07-24,ut,77.61,2.642,970
2026-07-24,va,70.27,2.976,2875
2026-07-24,vt,3.99,0.065,30
2026-07-24,wa,61.43,2.155,1911
2026-07-24,wi,74.81,2.957,2027
2026-07-24,wv,33.53,1.088,214
2026-07-24,wy,22.32,0.463,62
2026-09-22,ak,0.0,0.0,5
2026-09-22,al,79.62,4.758,2829
2026-09-22,ar,67.12,2.833,1068
2026-09-22,az,72.7,3.471,2696
2026-09-22,ca,86.59,7.345,20932
2026-09-22,co,79.77,3.855,2688
2026-09-22,ct,72.79,4.367,1013
2026-09-22,dc,49.42,0.933,151
2026-09-22,de,68.67,2.337,457
2026-09-22,fl,86.29,6.244,9797
2026-09-22,ga,91.9,11.765,9956
2026-09-22,hi,31.45,0.582,85
2026-09-22,ia,53.0,1.628,893
2026-09-22,id,55.57,2.267,463
2026-09-22,il,90.56,9.189,8483
2026-09-22,in,81.02,4.72,3696
2026-09-22,ks,77.65,4.296,2018
2026-09-22,ky,73.6,3.503,1915
2026-09-22,la,78.67,4.555,2088
2026-09-22,ma,65.43,2.582,1201
2026-09-22,md,49.75,1.86,1023
2026-09-22,me,26.18,0.559,65
2026-09-22,mi,72.84,4.601,3687
2026-09-22,mn,62.05,2.262,1516
2026-09-22,mo,82.8,5.086,3453
2026-09-22,ms,61.3,2.792,1149
2026-09-22,mt,11.81,0.222,87
2026-09-22,nc,66.44,3.462,3765
2026-09-22,nd,45.91,2.349,390
2026-09-22,ne,46.17,1.286,554
2026-09-22,nh,14.75,0.211,67
2026-09-22,nj,67.51,3.201,2410
2026-09-22,nm,74.61,4.197,1047
2026-09-22,nv,65.18,2.505,961
2026-09-22,ny,80.75,7.408,4452
2026-09-22,oh,84.72,5.254,6866
2026-09-22,ok,68.35,2.195,1493
2026-09-22,or,35.39,0.716,541
2026-09-22,pa,60.17,3.504,3737
2026-09-22,ri,81.42,3.06,325
2026-09-22,sc,76.04,4.587,2110
2026-09-22,sd,41.24,0.806,163
2026-09-22,tn,73.93,3.304,3619
2026-09-22,tx,84.86,6.884,17043
2026-09-22,ut,80.94,3.229,1063
2026-09-22,va,73.51,4.647,3454
2026-09-22,vt,5.41,0.079,30
2026-09-22,wa,63.93,2.506,2301
2026-09-22,wi,71.7,2.996,2134
2026-09-22,wv,34.05,1.14,246
2026-09-22,wy,22.95,0.506,72
